partsNum,partsBrandName,productId,pictureUrl
4013003205,GEELY,2232936424222339072
550046007,GEELY,2232936424243310596
9020009100,GEELY,2232936424604020736
9020009200,GEELY,2232936425140891648
1056022300,GEELY,2232936425161863172
9020000300,GEELY,2232936425136697344
1056000100,GEELY,2232936425392549888
9020000200,GEELY,2232936425992335360
1056025900,GEELY,2232936426139136000
9020000100,GEELY,2232936426101387264
9020000600,GEELY,2232936426202050560
8022020800,GEELY,2232936426940248064
8022040600,GEELY,2232936427087048704
8022021300,GEELY,2232936427133186048
8025530000,GEELY,2232936427141574656
2032040500,GEELY,2232936427951075328
2032072000,GEELY,2232936427997212672
1056001600,GEELY,2232936427963658240
1056016000,GEELY,2232936428072710144
889885252,GEELY,2232936428785741824
4060206008,GEELY,2232936428794130432
2032000200,GEELY,2232936428861239296
8022000500,GEELY,2232936429062565888
6608126458,GEELY,2232936429612019712
8022037000,GEELY,2232936429653962752
8022028400,GEELY,2232936429653962754
8022041200,GEELY,2232936429867872256
8025530500,GEELY,2232936430467657728
2032047000,GEELY,2232936430543155200
2032069500,GEELY,2232936430656401408
2032072200,GEELY,2232936430656401409
1016060591,GEELY,2232936431239409664
550047325,GEELY,2232936431394598912
550045971,GEELY,2232936431407181824
550045972,GEELY,2232936431625285632
550046104,GEELY,2232936432015355904
550046105,GEELY,2232936432149573632
550046106,GEELY,2232936432216682496
550046107,GEELY,2232936432459952128
550045973,GEELY,2232936432967462912
550045974,GEELY,2232936433013600256
9020009300,GEELY,2232936433047154688
1056012200,GEELY,2232936433307201536
1016056847,GEELY,2232936433827295232
41330007130,GEELY,2232936433860849664
41330007124,GEELY,2232936433860849665
8025530200,GEELY,2232936434238337024
9020001900,GEELY,2232936434531938304
9020005500,GEELY,2232936434628407296
1056011400,GEELY,2232936434817150976
1056008500,GEELY,2232936435161083904
9020006900,GEELY,2232936435391770624
4048046400,GEELY,2232936435492433920
4048095900,GEELY,2232936435588902912
4050042300,GEELY,2232936435932835840
4050043100,GEELY,2232936436239020032
4050076500,GEELY,2232936436264185856
4050086000,GEELY,2232936436360654848
4050086100,GEELY,2232936436771696640
9025000100,GEELY,2232936437044326400
8022020100,GEELY,2232936437254041600
8022041300,GEELY,2232936437342121984
8022530100,GEELY,2232936437522477056
2032039700,GEELY,2232936437816078336
