facilityId
SYDP1_GZC
SYDP2_ZHC
SYDP1_SZC
JP002
JP001
W00000000001
WH997
WH996
WH994
WH993
WH992
WH991
WH990
WH989
WH988
WH987
WH986
WH985
WH984
WH983
WH982
WH981
WH980
WH979
WH978
WH977
WH976
WH975
WH974
WH973
WH972
WH971
WH970
WH969
WH968
WH967
WH966
WH0922
WF20240301006970
WF20240301000562
WH0925
LH0001
LY001
CA_SSS
JXSWH000184
LRXX_GZCK
WH961
WHA00100105
WH960
WH959
WH958
WH955
WH952
WH951
LW0001
WH950
WH949
WH445
zxy
TT11
TJCCB
CW0002
145
QZC002
CLOUD002
WH101
TEST002
KMXHJC
KMXMSC
W002311
QZC100
YC100
WH888
TYCCS
QZCCS
ADCS
12
SZJWC
HZJW
SZJW
BJJW
QDJW
LJJW
CQJW
WHJW
NJJW
SMJW
SHJW
KMJWC
GZJW
XAJW
SYJW
CDJW
GLJW
TJJW
NCJW
KMGXC
WH005_01
WH443
TJYC
TJCC
WH926
WH927
WH928
WH929
WH921
WH922
WH923
WH924
WH925
WH916
WH917
WH918
WH919
WH920
WH912
WH913
WH914
WH915
WH906
WH907
WH908
WH909
WH910
WH911
WH901
WH902
WH903
WH904
WH905
WH900
MH100
YSCC
WH100
WH536
WH012
WH011
WHA001014641
WHA00101464
WHA00100132
GYXC_SCCK
LYCM_CDCK
SZHHGXC02
SZHHGXC01
LYCM_CZCK
LYCM-CZCK
LYCM_CQCK
21
2333
CSYP
XSGZBYC
WH006
WH010
QYYP
GZBYYP
YJYP
CN_GZBYC2
HZYP
SHBT_YC1
ZJYP
PDA_IO
TJWL_FSCK
TJWL_GZCK
TJWL_SZCK
LRXX_SZCK
LYCM_DHCK
LYCM_NNCK
LYCM_GZYXCK
LYCM-CQCK
LYCM_YJCK
MMYP
WH005
WH007
WHyyxxhh01
SKHSZ_NCCK
WH035
WHA00101189
WHA00101188
WHA00101187
WHA00101186
WHA00101185
JXSWH000242
SKHSZ_HZCK
LYCM_FSCK
SKHSZ_SZCK
SKHSZ_GZCK
SKHSZ_DGCK
LYCM_DGCK
LYCM_GZCK
LYCM_SZCK
CASS_YJ
WH027
BGLYC_001
WH002
WH003
WH001
CN_SHYPC
X_SZ
X_FSSD
JXSWH000194
ZGSH
WHA00000755
WHA00000745
WHA00000437
WHA00000436
WHA00000435
WHA00000434
